episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
418,-31.95,0.123,50000,0.533,0.467,721,456,601,1089
419,-6.95,0.1224,50000,0.674,0.326,706,557,863,758
420,-5.99,0.1218,50000,0.525,0.475,656,527,865,497
421,-3.8,0.1212,50000,0.39,0.61,595,697,626,618
422,-35.23,0.1206,50000,0.475,0.525,662,686,982,1095
423,-8.22,0.12,50000,0.397,0.603,464,742,330,723
424,-27.6,0.1194,50000,0.675,0.325,504,1107,721,680
425,-8.76,0.1188,50000,0.372,0.628,311,307,584,915
426,-3.43,0.1182,50000,0.36,0.64,662,455,389,313
427,-41.7,0.1176,50000,0.589,0.411,658,782,332,1167
428,-31.15,0.117,50000,0.632,0.368,564,798,885,1022
429,-22.76,0.1164,50000,0.637,0.362,484,907,817,802
